0.00000e+00	-7.06642e-02	6.93616e-01	9.83816e+00	4.50125e-03	1.00987e-02	7.42227e-03	4.00391e-02	5.31006e-03	-6.68945e-02
9.99451e-03	-1.69122e-02	7.07942e-01	9.74836e+00	3.96928e-03	1.80719e-02	1.22013e-02	4.03442e-02	5.61523e-03	-6.68945e-02
1.99890e-02	-6.34973e-02	6.43478e-01	9.82020e+00	-3.47833e-03	3.72026e-03	9.54627e-03	3.97339e-02	5.31006e-03	-6.70166e-02
2.99988e-02	-8.85815e-02	6.54222e-01	9.87767e+00	-2.86493e-04	-5.31594e-03	-1.60474e-03	3.95508e-02	4.88281e-03	-6.59790e-02
3.99933e-02	-5.63303e-02	6.93616e-01	9.79505e+00	-3.47833e-03	-2.65824e-03	3.70527e-03	3.92456e-02	4.88281e-03	-6.67114e-02
4.99878e-02	-8.14146e-02	6.93616e-01	9.77709e+00	-1.35044e-03	-1.38206e-02	6.89127e-03	3.98560e-02	5.49316e-03	-6.68945e-02
5.99976e-02	-6.34973e-02	6.61384e-01	9.82020e+00	-2.10334e-02	-1.43521e-02	-5.32174e-03	3.98560e-02	5.18799e-03	-6.64062e-02
6.99921e-02	-5.99138e-02	7.50917e-01	9.74117e+00	-2.86493e-04	-7.44211e-03	-1.38177e-02	3.98560e-02	5.31006e-03	-6.64062e-02
7.99866e-02	-4.19964e-02	5.93339e-01	9.80224e+00	-2.86493e-04	-1.54152e-02	-2.66674e-03	4.03442e-02	5.61523e-03	-6.70166e-02
8.99963e-02	-5.27469e-02	6.29152e-01	9.80224e+00	2.90534e-03	-5.32073e-04	8.48427e-03	4.00391e-02	4.39453e-03	-6.65894e-02
9.99908e-02	-5.27469e-02	6.57803e-01	9.76632e+00	-6.67016e-03	-7.44211e-03	6.36027e-03	3.90625e-02	5.31006e-03	-6.70166e-02
1.10001e-01	-6.34973e-02	6.86454e-01	9.83816e+00	3.43731e-03	-6.91056e-03	-6.38374e-03	3.94287e-02	5.31006e-03	-6.61011e-02
